City Name,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MpH)
zhigansk,ru,66.77,123.37,57.16,68,24,7.74
isangel,vu,-19.55,169.27,75.2,88,90,8.05
porosozero,ru,62.72,32.71,52.48,68,88,5.73
tigil,ru,57.8,158.67,55.63,71,0,6.73
viedma,ar,-40.81,-62.99,62.92,24,92,20.83
solnechnyy,ru,50.72,136.64,63.37,93,88,4.16
narsaq,gl,60.91,-46.05,42.8,70,0,3.36
kearney,us,40.7,-99.08,66.2,75,90,6.93
christchurch,nz,-43.53,172.64,51.8,76,48,10.29
tenno,jp,45.92,10.83,69.8,77,0,4.7
voi,ke,-3.4,38.57,62.11,97,88,5.06
blackwater,au,51.33,-0.78,64.8,93,75,5.82
ilulissat,gl,69.22,-51.1,37.4,69,44,4.7
killybegs,ie,54.63,-8.45,55.45,100,92,14.0
lovozero,ru,68.01,35.02,39.7,91,36,2.71
xiongzhou,cn,32.34,118.83,80.6,78,0,6.71
moche,pe,-8.17,-79.01,62.6,88,90,9.17
namatanai,pg,-3.66,152.44,78.49,100,64,4.61
conchas,br,-23.02,-48.01,70.93,63,92,9.75
blythe,us,33.61,-114.59,105.08,26,1,12.75
nizwa,om,22.93,57.53,75.97,57,32,1.36
primo tapia,mx,32.22,-116.92,78.96,71,75,8.05
upernavik,gl,72.79,-56.15,41.86,88,68,7.52
aksha,ru,50.28,113.29,61.57,90,0,4.16
beringovskiy,ru,63.05,179.32,52.3,95,20,17.58
wicklow,ie,53.0,-6.42,50.7,87,75,9.17
marfino,ru,56.07,37.56,45.41,87,0,6.71
banjar,id,-7.37,108.54,69.67,96,56,3.49
esperance,au,10.24,-61.45,80.6,83,40,10.29
marau,br,-28.45,-52.2,47.53,97,68,4.83
saint-augustin,ca,44.83,-0.61,69.8,73,0,4.7
gayeri,bf,12.65,0.49,74.44,91,100,2.71
lavrentiya,ru,65.58,-170.99,48.25,93,48,6.06
moratuwa,lk,6.77,79.88,77.0,88,40,6.93
tallahassee,us,30.44,-84.28,82.51,83,1,2.93
hasaki,jp,35.73,140.83,87.46,70,75,10.29
porto seguro,br,-16.44,-39.06,73.4,83,20,4.7
conde,br,-11.81,-37.61,73.54,94,80,6.73
qaanaaq,gl,77.48,-69.36,36.82,98,80,4.38
praia,cv,-20.25,-43.81,66.2,52,0,8.05
new bern,us,35.11,-77.04,80.04,90,40,4.7
dongsheng,cn,29.72,112.52,80.47,75,76,13.33
upata,ve,8.02,-62.41,75.52,84,12,2.71
washington,us,38.9,-77.04,75.92,56,1,3.36
tuatapere,nz,-46.13,167.69,46.36,100,92,6.51
bambous virieux,mu,-20.34,57.76,68.0,68,20,8.08
hobyo,so,5.35,48.53,75.43,72,44,18.37
kavaratti,in,10.57,72.64,79.75,100,48,16.02
avera,pf,33.19,-82.53,81.81,70,1,4.7
hit,iq,33.64,42.83,82.72,27,0,10.65
kampot,kh,10.62,104.18,77.05,93,36,6.62
esfarayen,ir,37.08,57.51,60.8,44,0,4.7
camacha,pt,33.08,-16.33,70.83,83,20,2.24
aketi,cd,2.74,23.78,68.86,100,92,2.59
nemuro,jp,43.32,145.57,73.4,83,75,3.36
weligama,lk,5.97,80.42,78.31,91,64,12.77
bacolod,ph,10.68,122.95,84.43,69,12,9.42
fortuna,us,38.18,-1.13,73.4,78,0,2.59
dodge city,us,37.75,-100.02,71.06,78,40,11.41
sur,om,22.57,59.53,83.8,93,44,3.15
vila velha,br,-3.71,-38.6,80.6,78,75,9.17
takoradi,gh,4.89,-1.75,71.83,99,92,8.19
polovinnoye,ru,54.79,65.99,54.19,84,0,4.94
povarovo,ru,56.08,37.05,45.43,87,0,6.71
mercedes,ar,-33.25,-58.03,50.68,82,56,10.87
talnakh,ru,69.49,88.39,49.15,82,0,2.59
kapiri mposhi,zm,-13.97,28.68,56.53,59,0,4.16
nome,us,30.04,-94.42,88.25,53,1,3.36
chaozhou,cn,23.66,116.62,80.6,94,32,2.24
suntar,ru,62.16,117.65,58.6,87,80,3.71
saint-louis,re,47.59,7.56,68.76,88,20,3.36
gat,ly,14.69,-16.54,80.6,83,36,2.24
codrington,ag,-28.95,153.24,60.49,61,0,3.49
langxiang,cn,46.95,128.87,65.53,81,0,2.71
cururupu,br,-1.82,-44.87,77.95,80,0,7.96
kaeo,nz,-35.1,173.78,57.79,77,20,17.25
labuhan,id,-2.54,115.51,76.33,89,12,2.71
shimoda,jp,34.7,138.93,80.37,74,75,10.29
praia da vitoria,pt,38.73,-27.07,71.6,100,75,14.79
deputatskiy,ru,69.3,139.9,48.61,71,48,4.72
nouadhibou,mr,20.93,-17.03,71.6,83,0,12.75
ambilobe,mg,-13.19,49.05,68.86,69,0,11.88
karratha,au,-20.74,116.85,63.1,19,0,18.48
lumby,ca,50.25,-118.97,75.43,43,0,1.81
college,us,64.86,-147.8,58.23,53,1,5.82
neuquen,ar,-38.95,-68.06,59.0,28,80,12.75
guajara,br,-0.88,-48.16,77.0,83,0,8.05
gigmoto,ph,13.78,124.39,84.16,93,0,16.58
constantine,dz,36.36,6.61,64.4,88,40,2.24
san jeronimo,mx,-13.65,-73.37,47.53,52,44,1.92
el real de santa maria,pa,8.11,-77.73,78.76,98,64,4.61
saint george,bm,39.45,22.34,71.6,46,0,5.82
mao,td,19.55,-71.08,82.4,74,40,11.41
canto do buriti,br,-8.11,-42.94,78.4,35,0,10.76
hambantota,lk,6.12,81.12,79.66,99,64,16.02
kuusamo,fi,65.96,29.19,46.4,81,90,4.7
wabana,ca,47.63,-52.95,64.4,93,20,4.7
udachnyy,ru,66.42,112.4,47.8,91,24,5.73
novoagansk,ru,61.94,76.66,52.03,98,56,4.16
bar harbor,us,44.39,-68.2,67.46,93,90,5.82
doha,kw,25.29,51.53,93.2,59,0,3.36
bandarban,bd,22.2,92.22,80.6,94,90,5.82
batagay-alyta,ru,67.8,130.41,53.47,89,92,3.94
umm bab,qa,25.21,50.81,77.68,78,0,4.61
whitehorse,ca,60.72,-135.06,64.4,39,75,12.75
caucaia,br,-3.73,-38.66,80.6,78,75,9.17
dikson,ru,73.51,80.55,43.48,100,8,8.19
balkhash,kz,46.84,74.98,62.11,100,0,6.85
petatlan,mx,17.52,-101.27,91.4,63,75,5.82
alyangula,au,-13.85,136.42,76.78,90,0,7.07
meulaboh,id,4.14,96.13,75.7,100,88,5.61
putina,pe,-14.91,-69.87,51.8,32,20,8.05
oranjemund,na,-28.55,16.43,55.72,97,0,18.59
portobelo,pa,9.55,-79.65,77.0,88,75,6.93
kenora,ca,49.76,-94.48,79.72,27,1,8.05
bayan,kw,47.25,107.54,53.47,100,88,4.83
pingliang,cn,35.54,106.68,56.8,88,12,2.48
hachinohe,jp,40.47,141.48,91.4,55,40,9.17
itoman,jp,26.12,127.67,86.76,77,75,11.41
ko samui,th,9.54,99.94,84.2,74,20,2.24
aksarka,ru,66.56,67.8,54.55,76,64,12.55
karaton,kz,-6.34,106.1,80.6,69,40,3.36
walvis bay,na,-22.95,14.51,54.37,100,0,12.44
socorro,us,13.06,121.41,79.75,90,36,6.62
longview,us,32.5,-94.74,85.46,55,1,3.36
ukiah,us,39.15,-123.21,86.0,33,1,9.17
ferkessedougou,ci,9.6,-5.2,70.03,99,88,2.93
zyryanovsk,kz,49.74,84.27,48.16,82,20,2.04
harer,et,42.19,-111.17,62.56,65,32,2.71
iramuco,mx,19.95,-100.92,62.6,88,90,6.93
clyde river,ca,70.47,-68.59,39.2,93,90,9.17
ozernovskiy,ru,51.5,156.52,56.26,85,0,4.16
aswan,eg,24.09,32.9,80.29,45,0,7.4
wichita falls,us,33.91,-98.49,89.17,42,1,9.17
igarka,ru,67.47,86.57,51.85,75,0,9.08
huejuquilla el alto,mx,22.63,-103.9,63.64,87,44,2.71
kuala terengganu,my,5.33,103.14,75.2,100,75,1.92
el banco,co,9.0,-73.97,72.91,100,56,2.59
rexburg,us,43.82,-111.79,61.56,58,20,10.29
uarini,br,-2.98,-65.16,78.85,81,0,3.94
ijsselstein,nl,52.02,5.05,58.39,93,40,4.7
emerald,au,-23.53,148.16,65.26,38,0,4.27
campoverde,pe,41.54,12.73,69.78,83,20,5.82
sosnovo-ozerskoye,ru,52.53,111.54,60.13,90,8,4.38
palmer,us,-34.85,139.16,64.4,22,0,10.29
vao,nc,59.1,26.19,58.51,75,20,11.21
fort nelson,ca,58.81,-122.69,53.6,87,90,8.05
joao pinheiro,br,-17.74,-46.17,66.43,58,64,4.94
riyadh,sa,24.63,46.72,84.2,10,0,5.82
bambanglipuro,id,-7.95,110.28,71.11,100,88,3.27
qiongshan,cn,20.01,110.35,80.6,94,0,6.71
hailar,cn,49.2,119.7,65.62,85,0,4.72
casper,us,42.87,-106.31,66.92,48,1,11.41
jumla,np,29.28,82.18,38.53,93,92,2.71
tomatlan,mx,19.93,-105.25,85.78,68,12,3.38
russell,nz,-33.01,-68.8,51.8,58,0,3.36
carmelo,uy,-34.0,-58.28,55.45,71,0,8.05
vuktyl,ru,63.86,57.31,53.74,99,92,2.93
colchester,gb,51.89,0.9,64.58,88,0,6.93
ahipara,nz,-35.17,173.16,56.08,91,88,18.48
kilrush,ie,51.96,-8.06,50.0,87,0,9.17
kieta,pg,-6.22,155.63,80.11,100,20,2.71
menongue,ao,-14.66,17.68,68.5,44,92,2.37
seymchan,ru,62.93,152.39,54.01,66,0,3.71
vagur,fo,61.47,-6.81,52.75,98,56,22.5
kungurtug,ru,50.6,97.53,50.14,94,92,1.7
ugoofaaru,mv,5.67,73.0,82.45,100,0,15.12
micheweni,tz,-4.97,39.83,76.78,100,88,13.67
verkhoyansk,ru,67.55,133.39,57.16,81,76,3.6
la tuque,ca,47.44,-72.79,57.88,93,92,10.98
vardo,no,39.62,-77.74,73.71,50,5,5.82
luoyang,cn,34.66,112.42,75.25,56,20,3.6
marzuq,ly,14.4,46.47,74.53,31,56,0.92
lethem,gy,3.38,-59.8,80.56,76,36,0.92
tripoli,ly,37.51,22.37,68.0,82,0,1.59
kenitra,ma,34.26,-6.57,69.8,88,0,2.24
ruteng,id,-8.61,120.46,70.12,94,0,3.83
shache,cn,38.42,77.24,74.53,42,92,13.56
luganville,vu,-15.51,167.18,77.5,100,80,5.17
wencheng,cn,27.79,120.09,76.87,91,20,2.82
pacifica,us,37.61,-122.49,72.43,56,1,14.99
aksu,cn,52.04,76.93,46.4,100,0,4.47
humaita,br,-24.93,-65.37,53.6,40,0,4.7
makhu,in,31.11,74.97,80.6,94,90,5.73
boa vista,br,2.82,-60.67,82.4,74,20,5.82
milkovo,ru,41.53,24.68,67.21,52,0,2.24
mathbaria,bd,22.29,89.96,81.55,94,92,6.51
vazhiny,ru,60.96,34.04,50.95,71,48,6.85
saint-pierre,pm,48.95,4.24,63.41,77,0,5.82
san cristobal,ec,-0.39,-78.55,53.6,71,75,17.22
willemstad,an,51.69,4.44,59.76,100,0,1.12
bellary,in,15.15,76.93,72.55,87,88,13.67
nakhon ratchasima,th,14.97,102.09,80.6,83,40,5.82
port pirie,au,-33.18,138.01,57.2,67,75,10.29
quthing,ls,-30.4,27.7,29.44,90,0,1.14
purgstall,at,48.06,15.14,61.21,87,8,2.37
nioaque,br,-21.16,-55.83,61.57,97,76,3.94
ngunguru,nz,-35.62,174.5,58.24,100,0,22.06
bachaquero,ve,9.96,-71.12,87.94,79,44,9.42
pacific grove,us,36.62,-121.92,68.86,56,1,18.34
melilla,es,-0.8,-80.23,71.6,83,20,9.17
manggar,id,-2.88,108.27,80.38,89,0,8.52
rakiv lis,ua,51.62,24.92,57.88,67,0,9.75
sinjar,iq,35.59,37.0,70.12,91,0,8.86
daltenganj,in,24.03,84.07,76.51,94,92,6.4
indija,rs,55.45,22.23,53.02,75,0,8.52
mount gambier,au,-37.83,140.78,50.23,85,24,6.29
anuchino,ru,43.97,133.06,67.96,73,92,3.15
sibolga,id,1.74,98.78,68.5,100,92,1.36
daru,pg,7.99,-10.85,70.75,100,92,3.38
caxito,ao,-22.65,-42.51,71.6,94,40,10.29
sao jose da coroa grande,br,-8.9,-35.15,73.36,98,80,9.64
chitral,pk,35.85,71.79,39.88,43,0,1.36
veraval,in,49.65,0.71,62.6,88,90,5.82
lyuban,ru,52.8,28.0,48.7,83,0,3.15
kavieng,pg,-2.57,150.8,81.37,100,68,4.05
shenjiamen,cn,29.96,122.3,82.36,92,0,21.83
gumdag,tm,39.2,54.59,71.65,31,0,11.54
clarence town,bs,-32.59,151.78,60.8,55,20,9.17
mehamn,no,71.03,27.85,41.23,94,88,3.27
inta,ru,66.04,60.13,51.22,71,64,3.71
harpanahalli,in,14.8,75.98,70.21,96,100,13.78
shakawe,bw,-18.36,21.84,55.45,41,0,2.59
segezha,ru,63.74,34.31,51.76,74,64,5.61
sampit,id,-2.54,112.95,77.05,89,0,7.18
glens falls,us,43.31,-73.64,69.01,70,20,5.82
yamada,jp,36.58,137.08,89.6,46,75,3.36
novosibirsk,ru,55.03,82.92,55.4,93,90,8.95
fukue,jp,35.03,136.69,84.04,70,75,32.21
ostrovnoy,ru,68.05,39.51,45.55,93,92,16.13
mayor pablo lagerenza,py,-19.93,-60.77,58.6,79,0,7.18
wuwei,cn,37.93,102.64,51.13,80,0,2.37
manzhouli,cn,49.6,117.43,65.44,73,0,2.48
carutapera,br,-1.2,-46.02,78.49,83,0,8.75
saldanha,za,41.42,-6.55,63.91,82,24,2.71
middelburg,za,-25.77,29.46,46.63,45,0,2.37
biltine,td,14.53,20.93,71.92,90,24,8.19
preeceville,ca,51.95,-102.67,77.95,36,0,11.1
bafq,ir,31.6,55.4,62.11,34,0,2.59
borogontsy,ru,62.67,131.17,65.26,84,32,3.71
tromso,no,69.65,18.96,46.4,87,0,21.92
matelica,it,43.26,13.01,62.6,93,12,4.7
salinopolis,br,-0.61,-47.36,80.74,95,0,13.11
mount isa,au,-20.73,139.49,80.6,23,0,14.99
porto novo,cv,-23.68,-45.44,68.0,72,20,5.82
acapulco,mx,16.86,-99.88,87.8,66,40,9.17
sola,vu,58.89,5.65,54.48,93,90,3.36
derzhavinsk,kz,51.1,66.31,58.51,77,0,9.31
nishihara,jp,35.74,139.53,86.38,62,40,3.36
luanda,ao,-8.83,13.24,69.8,88,75,6.93
mochicahui,mx,25.95,-108.93,82.4,69,75,8.05
qasigiannguit,gl,68.82,-51.19,37.4,69,44,4.7
egvekinot,ru,66.32,-179.17,52.93,76,20,5.06
maldonado,uy,-34.91,-54.96,44.6,81,0,5.82
boguchany,ru,58.38,97.46,61.03,100,92,3.49
sawakin,sd,19.1,37.33,82.9,74,24,1.36
sao felix do xingu,br,-6.64,-51.99,77.86,72,24,2.15
turukhansk,ru,65.8,87.96,54.1,77,0,10.2
volokolamsk,ru,56.03,35.95,45.28,84,0,5.61
severodvinsk,ru,64.56,39.82,42.8,100,0,2.24
miri,my,10.31,9.75,67.06,95,48,6.73
svetlogorsk,ru,53.14,59.15,57.2,54,40,6.71
northam,au,51.04,-4.21,64.98,88,40,9.17
delta del tigre,uy,-34.76,-56.41,48.2,76,0,9.17
puerto ayacucho,ve,5.66,-67.63,82.4,69,40,2.48
geraldton,au,49.72,-86.95,68.0,52,40,5.82
puerto montt,cl,-41.47,-72.94,44.6,100,90,11.41
